Estimate,s.e.,,ms_route_sel_prob,
sA1,0.815978335,0.02190352,0.815978335,
sA2,1.007878078,0.037906834,0.822406675,1.007878078
sA3,0.949954781,0.053910846,0.781249153,0.957438599
sA4,0.978980471,0.073292488,0.764827664,0.937313691
sA5,0.880046341,0.030281808,0.673083788,0.824879484
sA6,0.924892328,0.029761838,0.622530031,0.762924706
sA7,0.40922583,0.049781538,0.254755369,0.312208496
sA8,0.950466841,0.032340549,,
sA9,1.27314816,0.672392696,,
phiB1A7,0.467881534,0.129154399,,
phiC1A7,0.148901477,0.035478279,1,
psiA1,0.929506341,0.022838202,0.929506341,
psiA2,0.525624673,0.048076982,0.488571467,
psiA3,0.953030758,0.02052338,0.465623635,
pA1,0.805343512,0.024461017,,
pA2,0.25789449,0.02852706,,
pA3,0.184921709,0.025508346,,
pA4,0.8869482,0.029529296,,
pA5,0.990466012,0.009488385,,
pA6,0.975824745,0.023882693,,
pA7a,0.821391097,0.046682815,,
pA7b,0.762720304,0.051751168,,
pA8,0.972222222,0.027389263,,
pA9a,0.06060606,0.041540285,,
pA9b,0.399999996,0.219112859,,
pB1,0.739241827,0.210229098,,
pC1,0.855687705,0.127932905,,
