Estimate,Alpha,Lower Bound,Upper Bound,
phiB1A7,0.467881534,0.05,0.23538,0.71095
phiC1A7,0.148901477,0.05,0.08856,0.22689
S_BCAtoChipps,0.240154308,0.05,0.19789,0.26171
S_RELtoChipps,0.195960712,0.05,0.16754,0.23585
S_RELtoGG,0.103474533,0.05,0.07585,0.1125
S_HORtoChipps_mainstem,0.317443672,0.05,0.24849,0.39883
S_PCtoChipps_mainstem,0.22086397,0.05,0.1821,0.24129
s10sA1,0.836220274,0.05,0.79556,0.87288
s10sA2,1.015059328,0.05,0.8907,1.1924
s10sA3,0.870437628,0.05,0.6284,1.20077
s10sA4,0.955059359,0.05,0.70348,1.52712
s10sA5,0.952959596,0.05,0.92474,0.97338
s10sA6,0.899089019,0.05,0.81465,0.98254
s10sA7,0.839265556,0.05,0.79726,0.8757
s10sA8,0.642402688,0.05,0.56427,0.71519
s10lambda,0.889795745,0.05,0.84739,0.92428
