Estimate,s.e.,
sA1,0.52985843,0.027297609
sA2,0.630038422,0.037083834
sA3,0.830534914,0.036484952
sA4,0.95029303,0.022723269
sA5,0.947150839,0.027823531
sA6,0.886991177,0.037396151
sA8,1.018853242,0.075448563
sA9,1.014047399,0.168314196
sA10,0.881838797,0.137633734
sA11,0.897435897,0.048581102
sA12,0.897435899,0.048581088
sA13,0.420378479,0.088848474
sA14,0.914434542,0.057806205
lambda,0.409090915,0.104823079
phiB1A13,0.334147002,0.272847933
phiC1A13,0.410089494,0.105088008
psiA1,0.961993244,0.021710405
psiA2,0.640001874,0.061299661
psiA3,0.885714285,0.053778514
pA1,0.965217391,0.01708617
pA2,0.907216495,0.029458131
pA3a,0.978973156,0.014709228
pA3b,0.618298835,0.049332866
pA4,0.96511628,0.019785729
pA5,0.870129873,0.038309075
pA6,0.59375738,0.056080057
pA7,0.787373913,0.047077897
pA10,0.897435898,0.048581104
pA13a,0.831304127,0.076830111
pA13b,0.831304127,0.076830112
pC1,0.900000001,0.094868852
pA8,0.223880598,0.050926236
pA9,0.09090909,0.035386705
