param,Estimate,Alpha,Lower Bound,Upper Bound,line,rkm,cumul,cumul2
Rel,1,,,,,317.79,1,
sA1,0.52985843,0.05,0.47645,0.58323,ms,305.42,0.52985843,1
sA2,0.630038422,0.05,0.55612,0.70081,ms,280.67,0.333831169,0.630038422
sA3,0.830534914,0.05,0.75156,0.89374,ms,257.64,0.277258441,0.523268907
sA4,0.95029303,0.05,0.89372,0.98364,ms,240.55,0.263476764,0.497258795
sA5,0.947150839,0.05,0.88077,0.99207,ms,211.17,0.249552238,0.470979085
sA6,0.886991177,0.05,0.80142,0.94744,ms,181.72,0.221350634,0.417754293
S_DFtoChipps,0.310542641,0.05,0.241,0.37251,ms,76.24,0.06873881,0.129730521
sA14,0.914434542,0.05,0.75888,0.98494,ms,52.05,0.062857142,0.11863007
lambda,0.409090915,0.05,0.22219,0.61607,ms,1.71,0.025714286,0.048530484
